Post_ID,Posting_Author,Congress_Number,State_District,DW-NOMINATE,LES,Job_Function,Title_Parsed,Office_Type,Committee_Affiliation,Spanish_Language,Salary_Min,Salary_Max,Years_Experience
MEM-109-14,Congressman Steven Horsford,118,ST-04,-0.322,0.257,Legislative,Community Liaison/Caseworker,Personal,,0,,,
MEM-108-14,Committee on Ethics,118,ST-03,,,Legislative,Staff Assistant,Personal,null,0,,,
MEM-107-14,House Committee Democrats,118,ST-07,,,Legislative,Labor Policy Counsel (Pensions),Personal,House Committee Democrats,0,,,3
MEM-106-14,Southern conservative Democrat,118,ST-14,,,Communications,Communications Director,Personal,,0,,,
MEM-104-14,Congressman Xavier Becerra,118,ST-04,-0.512,0.055,Legislative,Staff Assistant,Personal,,1,,,
MEM-100-14,Staff Assistant,118,ST-14,,,Legislative,Staff Assistant,Personal,,0,,,
MEM-117-14,Congressman Denny Heck (WA-10),118,ST-10,-0.312,1.342,Legislative,,Personal,,0,,,
MEM-116-14,Committee on House Administration,118,ST-14,,,Legislative,Intern,Personal,CHA Dem,0,,,
MEM-115-14,NY Freshman Democrat,118,ST-01,,,Communications,Press Intern,Personal,,0,,,
MEM-114-14,Energetic NY Freshman Democrat,118,ST-14,,,Legislative,Intern,Personal,,0,,,
MEM-113-14,Congresswoman Katherine Clark,118,ST-05,-0.484,0.052,Legislative,Internship,Personal,,0,,,
MEM-112-14,Senior Texas Democrat,118,ST-14,,,Legislative,Senior Staff Intern,Personal,,0,,,
MEM-111-14,Congressman Reid Ribble,118,ST-14,0.603,0.137,Legislative,Intern,Personal,,0,,,
MEM-110-14,Congressman Jerry McNerney (CA-09),118,ST-09,-0.263,0.757,Legislative,Internship Position,Personal,,0,,,
MEM-105-14,Congresswoman Betty McCollum,118,ST-04,-0.419,0.061,Legislative,Intern,Personal,,0,,,
MEM-103-14,Committee on House Administration,118,ST-14,,,Legislative,Intern,Personal,null,0,,,
MEM-102-14,House Democratic Leadership Office,118,ST-02,,,Legislative,Intern,Personal,,0,,,
MEM-101-14,Congressman Steven Horsford (NV-4),118,ST-04,-0.322,0.257,Legislative,Internship Assistant,Personal,,0,,,
MEM-316-13,Congresswoman Maxine Waters (CA-43),118,ST-43,-0.656,1.286,Communications,Press and Social Media Intern,Personal,,0,,,
MEM-120-14,Compilation of Precedents Office,118,ST-14,,,Legislative,DIGITAL EDITOR,Personal,,0,,,
MEM-119-14,New Jersey Democrat,118,ST-14,,,Legislative,Transportation Legislative Assistant,Personal,Transportation and Infrastructure Committee,0,,,
MEM-118-14,Congressman Steven Horsford,118,ST-04,-0.322,0.257,Legislative,Staff Assistant,Personal,,0,,,
MEM-109-14,Congressman Steven Horsford,118,ST-04,-0.322,0.257,Legislative,Community Liaison/Caseworker,Personal,,0,,,
MEM-108-14,Committee on Ethics,118,ST-04,,,Legislative,Staff Assistant,Personal,null,0,,,
MEM-107-14,House Committee Democrats,118,ST-07,,,Legislative,Labor Policy Counsel (Pensions),Personal,House Committee Democrats,0,,,3
MEM-106-14,Southern conservative Democrat,118,ST-14,,,Communications,Communications Director,Personal,,0,,,
MEM-104-14,Congressman Xavier Becerra,118,ST-14,-0.512,0.055,Legislative,Staff Assistant,Personal,,1,,,
MEM-122-14,Congressman Kurt Schrader,118,ST-02,-0.182,0.151,Legislative,Internship Assistant,Personal,,0,,,
MEM-121-14,Robert Hankins,118,ST-14,,,Legislative,Internship Assistant,Personal,House Energy and Commerce Committee,0,,,
MEM-120-14,Congressman Jim Costa,118,ST-16,-0.197,0.156,Legislative,Intern,Personal,,0,,,
MEM-117-14,Congressman Denny Heck (WA-10),118,ST-10,-0.312,1.342,Legislative,,Personal,,0,,,
MEM-116-14,Committee on House Administration,118,ST-14,,,Legislative,Intern,Personal,CHA Dem,0,,,
MEM-115-14,NY Freshman Democrat,118,ST-01,,,Communications,Press Intern,Personal,,0,,,
MEM-114-14,Energetic NY Freshman Democrat,118,ST-04,,,Legislative,Intern,Personal,,0,,,
MEM-113-14,Congresswoman Katherine Clark,118,ST-05,-0.484,0.052,Legislative,Internship,Personal,,0,,,
MEM-112-14,Senior Texas Democrat,118,ST-14,,,Legislative,Senior Staff Intern,Personal,,0,,,
MEM-111-14,Congressman Reid Ribble,118,ST-14,0.603,0.137,Legislative,Intern,Personal,,0,,,
MEM-110-14,Congressman Jerry McNerney (CA-09),118,ST-09,-0.263,0.757,Legislative,Internship Position,Personal,,0,,,
MEM-105-14,Congresswoman Betty McCollum,118,ST-04,-0.419,0.061,Legislative,Intern,Personal,,0,,,
MEM-103-14,Committee on House Administration,118,ST-14,,,Legislative,Intern,Personal,null,0,,,
MEM-102-14,House Democratic Leadership Office,118,ST-4,,,Legislative,Intern,Personal,,0,,,
MEM-119-14,New Jersey Democrat,118,ST-14,,,Legislative,Transportation Legislative Assistant,Personal,Transportation and Infrastructure Committee,0,,,
MEM-118-14,Congressman Steven Horsford,118,ST-04,-0.322,0.257,Legislative,Staff Assistant,Personal,,0,,,
MEM-109-14,Congressman Steven Horsford,118,ST-04,-0.322,0.257,Legislative,Community Liaison/Caseworker,Personal,,0,,,
MEM-108-14,Committee on Ethics,118,ST-04,,,Legislative,Staff Assistant,Personal,null,0,,,
MEM-107-14,House Committee Democrats,118,ST-07,,,Legislative,Labor Policy Counsel (Pensions),Personal,House Committee Democrats,0,,,3
MEM-106-14,Southern conservative Democrat,118,ST-14,,,Communications,Communications Director,Personal,,0,,,
MEM-104-14,Congressman Xavier Becerra,118,ST-14,-0.512,0.055,Legislative,Staff Assistant,Personal,,1,,,
MEM-364-13,Congressman Cuellar,118,ST-13,,,Communications,Press Intern,Personal,,1,,,
MEM-363-13,Congressman Bill Shuster (PA-09),118,ST-09,0.374,1.964,Legislative,Intern,Personal,,0,,,
MEM-362-13,Congressman Tim Walz (D-MN),118,ST-13,,,Legislative,Intern,Personal,,0,,,
MEM-359-13,Democratic Member of Congress,118,ST-13,,,Legislative,Intern,Personal,,0,,,
MEM-358-13,Congresswoman Carolyn McCarthy (NY-04),118,ST-04,-0.294,0.152,Legislative,Intern,Personal,,0,,,
MEM-357-13,Congresswoman Diana DeGette (CO-01),118,ST-01,-0.431,0.211,Legislative,Intern,Personal,,0,,,
MEM-355-13,CONGRESSMAN DAVE CAMP,118,ST-04,0.385,7.918,Legislative,Intern,Personal,,0,,,
MEM-354-13,Representative Scott Tipton,118,ST-03,0.451,1.749,Legislative,Internship,Personal,,0,,,
MEM-353-13,Progressive Rhode Island Democrat,118,ST-13,,,Legislative,Intern,Personal,,0,,,
MEM-352-13,Ohio Democrat,118,ST-13,,,Legislative,Legislative/Press intern,Personal,,0,,,
MEM-351-13,Congressman Jerry McNerney (CA-09),118,ST-09,-0.263,0.757,Legislative,,Personal,,0,,,
MEM-350-13,Congressman Bob Goodlatte (VA-06),118,ST-06,0.496,4.238,Legislative,Internship Assistant,Personal,,0,,,
MEM-348-13,Congressman Larson,118,ST-13,,,Legislative,Intern,Personal,,0,,,
MEM-347-13,Progressive Maryland Democrat,118,ST-13,,,Legislative,Intern,Personal,,0,,,
MEM-345-13,Congressman Raul Labrador (ID-01),118,ST-01,0.735,0.650,Legislative,Intern,Personal,,0,,,
MEM-344-13,Congresswoman Betty McCollum,118,ST-13,-0.419,0.061,Legislative,Intern,Personal,,0,,,
MEM-343-13,California Democrat,118,ST-13,,,Legislative,Legislative Fellow,Personal,,0,,,
MEM-342-13,"Republican Office of the Committee on Science, Space, and Technology",118,ST-13,,,Legislative,Intern,Committee,"Committee on Science, Space, and Technology",0,,,
MEM-341-13,Congressman Jared Huffman’s office (CA-02),118,ST-02,,,Legislative,,Personal,,0,,,
MEM-339-13,Frank Pallone,118,ST-06,-0.402,1.500,Legislative,,Personal,,0,,,
MEM-338-13,Democratic California Congressman,118,ST-13,,,Legislative,Intern,Personal,,0,,,
MEM-286-13,Congressman Dennis A. Ross (FL-15),118,ST-15,,,Legislative,Intern,Personal,,0,,,
MEM-361-13,Rep. Jerry McNerney,118,ST-13,-0.263,0.757,Communications,Communications Director,Personal,,0,,,
MEM-356-13,Freshman Midwestern Democratic Member,118,ST-13,,,Legislative,Scheduler/Office Administrator,Personal,,0,,,
MEM-349-13,Florida Leadership House Democrat,118,ST-13,,,Communications,Communications Director,Personal,,1,,,
MEM-346-13,Democratic Congressional committee,118,ST-13,,,Legislative,Analyst,Committee,null,0,,,
MEM-371-13,Congressman Derek Kilmer,118,ST-06,-0.316,0.522,Legislative,Intern,Personal,,0,,,
MEM-369-13,The Congressional Black Caucus,118,ST-13,,,Communications,Intern,Personal,,0,,,
MEM-368-13,Congressman Mario Diaz-Balart (FL-25),118,ST-25,0.281,1.114,Legislative,Intern,Personal,,0,,,
MEM-367-13,Congressman Ami Bera,118,ST-13,-0.245,0.238,Communications,Communications Intern,Personal,,0,,,
MEM-366-13,Congresswoman Zoe Lofgren,118,ST-19,-0.398,0.702,Legislative,Intern,Personal,,0,,,
MEM-365-13,"Congressman Dave Loebsack, IA-02-D",118,ST-02,,,Legislative,Intern,Personal,,0,,,
MEM-364-13,Congressman Cuellar,118,ST-13,,,Communications,Press Intern,Personal,,1,,,
MEM-363-13,Congressman Bill Shuster (PA-09),118,ST-09,0.374,1.964,Legislative,Intern,Personal,,0,,,
MEM-362-13,Congressman Tim Walz (D-MN),118,ST-13,,,Legislative,Intern,Personal,,0,,,
MEM-359-13,Democratic Member of Congress,118,ST-13,,,Legislative,Intern,Personal,,0,,,
MEM-358-13,Congresswoman Carolyn McCarthy (NY-04),118,ST-04,-0.294,0.152,Legislative,Intern,Personal,,0,,,
MEM-357-13,Congresswoman Diana DeGette (CO-01),118,ST-01,-0.431,0.211,Legislative,Intern,Personal,,0,,,
MEM-355-13,CONGRESSMAN DAVE CAMP,118,ST-04,0.385,7.918,Legislative,Intern,Personal,,0,,,
MEM-354-13,Representative Scott Tipton,118,ST-03,0.451,1.749,Legislative,Internship,Personal,,0,,,
MEM-353-13,Progressive Rhode Island Democrat,118,ST-13,,,Legislative,Intern,Personal,,0,,,
MEM-352-13,Ohio Democrat,118,ST-13,,,Legislative,Legislative/Press intern,Personal,,0,,,
MEM-351-13,Congressman Jerry McNerney (CA-09),118,ST-09,-0.263,0.757,Legislative,,Personal,,0,,,
MEM-350-13,Congressman Bob Goodlatte (VA-06),118,ST-06,0.496,4.238,Legislative,Internship Assistant,Personal,,0,,,
MEM-348-13,Congressman Larson,118,ST-13,,,Legislative,Intern,Personal,,0,,,
MEM-347-13,Progressive Maryland Democrat,118,ST-13,,,Legislative,Intern,Personal,,0,,,
MEM-316-13,Congresswoman Maxine Waters (CA-43),118,ST-43,-0.656,1.286,Communications,Press and Social Media Intern,Personal,,0,,,
MEM-286-13,Congressman Dennis A. Ross (FL-15),118,ST-15,,,Legislative,Intern,Personal,,0,,,
MEM-370-13,Senior Republican,118,ST-02,,,Communications,Press Secretary,Personal,,0,,,
MEM-361-13,Rep. Jerry McNerney,118,ST-13,-0.263,0.757,Communications,Communications Director,Personal,,0,,,
MEM-356-13,Freshman Midwestern Democratic Member,118,ST-13,,,Legislative,Scheduler/Office Administrator,Personal,,0,,,
MEM-349-13,Florida Leadership House Democrat,118,ST-13,,,Communications,Communications Director,Personal,,1,,,
MEM-346-13,Democratic Congressional committee,118,ST-13,,,Legislative,Analyst,Committee,null,0,,,
MEM-372-13,The Congressional Black Caucus,118,ST-13,,,Legislative,Internship Position,Personal,,0,,,
MEM-371-13,Congressman Derek Kilmer,118,ST-06,-0.316,0.522,Legislative,Intern,Personal,,0,,,
MEM-369-13,The Congressional Black Caucus,118,ST-13,,,Communications,Intern,Personal,,0,,,
MEM-368-13,Congressman Mario Diaz-Balart (FL-25),118,ST-25,0.281,1.114,Legislative,Intern,Personal,,0,,,
MEM-367-13,Congressman Ami Bera,118,ST-13,-0.245,0.238,Communications,Communications Intern,Personal,,0,,,
MEM-366-13,Congresswoman Zoe Lofgren,118,ST-19,-0.398,0.702,Legislative,Intern,Personal,,0,,,
MEM-365-13,"Congressman Dave Loebsack, IA-02-D",118,ST-02,,,Legislative,Intern,Personal,,0,,,
MEM-364-13,Congressman Cuellar,118,ST-13,,,Communications,Press Intern,Personal,,1,,,
MEM-363-13,Congressman Bill Shuster (PA-09),118,ST-09,0.374,1.964,Legislative,Intern,Personal,,0,,,
MEM-362-13,Congressman Tim Walz (D-MN),118,ST-13,,,Legislative,Intern,Personal,,0,,,
MEM-359-13,Democratic Member of Congress,118,ST-13,,,Legislative,Intern,Personal,,0,,,
MEM-358-13,Congresswoman Carolyn McCarthy (NY-04),118,ST-04,-0.294,0.152,Legislative,Intern,Personal,,0,,,
MEM-357-13,Congresswoman Diana DeGette (CO-01),118,ST-01,-0.431,0.211,Legislative,Intern,Personal,,0,,,
MEM-355-13,CONGRESSMAN DAVE CAMP,118,ST-04,0.385,7.918,Legislative,Interns,Personal,,0,,,
MEM-354-13,Representative Scott Tipton,118,ST-03,0.451,1.749,Legislative,Internship,Personal,,0,,,
MEM-353-13,Progressive Rhode Island Democrat,118,ST-13,,,Legislative,Intern,Personal,,0,,,
MEM-316-13,Congresswoman Maxine Waters (CA-43),118,ST-43,-0.656,1.286,Communications,Press and Social Media Intern,Personal,,0,,,
MEM-286-13,Congressman Dennis A. Ross (FL-15),118,ST-15,,,Legislative,Intern,Personal,,0,,,
MEM-375-13,Congressman Aaron Schock (IL-18),118,ST-18,0.311,0.236,Communications,Communications Director,Personal,,0,,,
MEM-374-13,Freshman Democratic Member,118,ST-13,,,Legislative,Legislative Assistant,Personal,House Financial Services Committee,0,,,
MEM-373-13,Ohio Republican House Member,118,ST-13,,,Legislative,press assistant,Personal,,0,,,
MEM-370-13,Senior Republican,118,ST-13,,,Communications,Press Secretary,Personal,,0,,,
MEM-361-13,Rep. Jerry McNerney,118,ST-13,-0.263,0.757,Communications,Communications Director,Personal,,0,,,
MEM-356-13,Freshman Midwestern Democratic Member,118,ST-13,,,Legislative,Scheduler/Office Administrator,Personal,,0,,,
MEM-349-13,Florida Leadership House Democrat,118,ST-13,,,Communications,Communications Director,Personal,,1,,,
MEM-377-13,"The Committee on Education and the Workforce, Democratic Staff",118,ST-13,,,Communications,Press Intern,Personal,Democratic Staff,0,,,
MEM-372-13,The Congressional Black Caucus,118,ST-13,,,Legislative,Internship Position,Personal,,0,,,
MEM-371-13,Congressman Derek Kilmer,118,ST-06,-0.316,0.522,Legislative,Intern,Personal,,0,,,
MEM-369-13,The Congressional Black Caucus,118,ST-13,,,Communications,Intern,Personal,,0,,,
MEM-368-13,Congressman Mario Diaz-Balart (FL-25),118,ST-25,0.281,1.114,Legislative,Intern,Personal,,0,,,
MEM-367-13,Congressman Ami Bera,118,ST-13,-0.245,0.238,Communications,Communications Intern,Personal,,0,,,
MEM-365-13,"Congressman Dave Loebsack, IA-02-D",118,ST-02,,,Legislative,Intern,Personal,,0,,,
MEM-364-13,Congressman Cuellar,118,ST-13,,,Communications,Press Intern,Personal,,1,,,
MEM-363-13,Congressman Bill Shuster (PA-09),118,ST-09,0.374,1.964,Legislative,Intern,Personal,,0,,,
MEM-362-13,Congressman Tim Walz (D-MN),118,ST-13,,,Legislative,Intern,Personal,,0,,,
MEM-359-13,Democratic Member of Congress,118,ST-05,,,Legislative,Intern,Personal,,0,,,
MEM-357-13,Congresswoman Diana DeGette (CO-01),118,ST-01,-0.431,0.211,Legislative,Intern,Personal,,0,,,
MEM-355-13,CONGRESSMAN DAVE CAMP,118,ST-04,0.385,7.918,Legislative,Intern,Personal,,0,,,
MEM-354-13,Representative Scott Tipton,118,ST-03,0.451,1.749,Legislative,Internship,Personal,,0,,,
MEM-353-13,Progressive Rhode Island Democrat,118,ST-13,,,Legislative,Intern,Personal,,0,,,
MEM-316-13,Congresswoman Maxine Waters (CA-43),118,ST-43,-0.656,1.286,Communications,Press and Social Media Intern,Personal,,0,,,
MEM-286-13,Congressman Dennis A. Ross (FL-15),118,ST-15,,,Legislative,Intern,Personal,,0,,,
MEM-378-13,Moderate Texas Democrat,118,ST-13,,,Legislative,Legislative Assistant,Personal,,1,,,
MEM-376-13,Dem member,118,ST-13,,,Communications,Press secretary,Personal,,0,,,
MEM-375-13,Congressman Aaron Schock (IL-18),118,ST-18,0.311,0.236,Communications,Communications Director,Personal,,0,,,
MEM-374-13,Freshman Democratic Member,118,ST-13,,,Legislative,Legislative Assistant,Personal,House Financial Services Committee,0,,,
MEM-373-13,Ohio Republican House Member,118,ST-13,,,Legislative,press assistant,Personal,,0,,,
MEM-370-13,Senior Republican,118,ST-13,,,Communications,Press Secretary,Personal,,0,,,
MEM-361-13,Rep. Jerry McNerney,118,ST-13,-0.263,0.757,Communications,Communications Director,Personal,,0,,,
MEM-349-13,Florida Leadership House Democrat,118,ST-13,,,Communications,Communications Director,Personal,,1,,,
MEM-120-25,Congressman Robert Garcia,118,CA-42,-0.381,1.179,Communications,Press Intern,Personal,,0,18.000,,
MEM-128-25,Congresswoman Nicole Malliotakis (NY-11),118,ST-11,0.339,1.245,Legislative,,Personal,House Committee on Ways and Means,0,,,
MEM-126-25,Congresswoman Janelle Bynum (OR-05),118,ST-05,,,Legislative,Intern,Personal,,0,,,
MEM-111-25,Congressman Jim Costa,118,ST-21,-0.197,0.156,Communications,Digital/Press Intern,Personal,,0,17.500,,
MEM-110-25,House Committee on Oversight and Government Reform Democrats,118,ST-25,,,Communications,Digital Media and Traditional Press Intern,Personal,None,0,,,
MEM-109-25,House Natural Resources Committee Democrats,118,ST-25,,,Legislative,Summer Intern House Committee on Natural Resources,Personal,House Natural Resources Committee,1,,3200.000,
MEM-099-25,Congressman Rob Menendez,118,ST-08,,,Legislative,Internship,Personal,,0,,,
MEM-098-25,Congressman Rob Menendez,118,ST-08,,,Legislative,Press Intern,Personal,,0,,,
MEM-093-25,Congressman Darrell Issa,118,ST-48,0.478,3.118,Legislative,Legal Fellow,Personal,,0,,,
MEM-091-25,Congresswoman Susie Lee,118,ST-25,-0.232,1.159,Legislative,Intern,Personal,,0,,,
MEM-050-25,Congresswoman Gwen Moore (WI-04),118,ST-04,-0.521,0.147,Legislative,Interns,Personal,,0,,,
MEM-455-24,Congresswoman Andrea Salinas,118,ST-06,-0.207,1.025,Legislative,Intern,Personal,,0,,,
MEM-454-24,Congressman Greg Casar,118,ST-35,-0.405,0.052,Legislative,Internship,Personal,,1,17.500,,
MEM-453-24,Congresswoman Stephanie Bice,118,ST-05,0.412,0.815,Legislative,Intern,Personal,,0,,,
MEM-450-24,Representative Kevin Mullin (CA-15),118,ST-15,-0.470,0.052,Communications,Press Intern,Personal,,0,15.000,,
MEM-449-24,Representative Kevin Mullin (CA-15),118,ST-15,-0.470,0.052,Legislative,Internship,Personal,,0,,15.000,
MEM-448-24,Congressman Jim Himes,118,ST-24,,,Communications,Internship Program Assistant,Personal,,0,,,
MEM-447-24,Congresswoman Dina Titus (NV-01),118,ST-01,-0.298,1.632,Legislative,Legislative Intern,Personal,,0,,,
MEM-446-24,Congresswoman Grace Meng,118,ST-06,-0.372,0.300,Legislative,Intern,Personal,,0,,,
MEM-445-24,Congressman Troy Balderson,118,ST-12,0.460,0.891,Legislative,Paid Internship,Personal,,0,,,
MEM-444-24,Congressman Glenn Grothman,118,WI-06,0.599,0.704,Legislative,,Personal,,0,,,
MEM-443-24,Congressman Glenn Grothman,118,WI-06,0.599,0.704,Legislative,,Personal,,0,,,
MEM-441-24,Congressman Jim Costa,118,ST-21,-0.197,0.156,Communications,Digital/Press Intern,Personal,,0,,,
MEM-440-24,Congressman Josh Harder,118,CA-9,-0.321,0.884,Legislative,,Personal,,0,,,
MEM-439-24,Congresswoman Susan Wild (PA-07),118,ST-07,-0.261,0.570,Legislative,Intern,Personal,,0,,,
MEM-437-24,Congressman Jim Costa,118,ST-21,-0.197,0.156,Communications,Digital/Press Intern,Personal,,0,,,
MEM-436-24,Congressman Matt Cartwright (PA-08),118,ST-08,-0.344,0.686,Legislative,Internship,Personal,,0,,,
MEM-435-24,Democratic StaK of the House Energy and Commerce Committee,118,ST-24,,,Legislative,Legislative Interns,Personal,House Energy and Commerce Committee,0,,,
MEM-434-24,Congressman Emanuel Cleaver,118,ST-24,-0.453,0.327,Legislative,Intern,Personal,,0,,,
MEM-433-24,Representative Brad Schneider (D-IL-10),118,ST-10,,,Legislative,Press Internship,Personal,,0,,,
MEM-432-24,Representative Brad Schneider,118,ST-10,,,Legislative,Intern,Personal,,0,,,
MEM-430-24,Congressman Ed Case,118,HI-01,-0.205,0.463,Legislative,Intern,Personal,,0,,,
MEM-429-24,House Committee on Oversight and Accountability Democratic Sta,118,ST-24,,,Communications,Digital Media and Traditional Press Intern,Committee,Democratic Sta,0,,,
MEM-428-24,Congresswoman Doris Matsui,118,ST-07,-0.433,1.022,Legislative,,Personal,,0,,,
MEM-427-24,Jerrold Nadler (NY-12),118,ST-12,-0.507,0.138,Legislative,Legal Interns,Personal,U.S. House Judiciary Committee,1,,,
MEM-426-24,Congressman Tim Kennedy,118,ST-26,,,Legislative,Press Fellow,Personal,,0,,,
MEM-423-24,Representative Donald Norcross,118,ST-01,-0.420,0.149,Legislative,Internship Program,Personal,,0,,,
MEM-421-24,Democratic Sta& of the Committee on Rules,118,ST-24,,,Legislative,Interns for the spring (January - May),Personal,Committee on Rules,0,,,
MEM-420-24,Congresswoman Rosa L. DeLauro (CT-03),118,ST-03,,,Legislative,,Personal,,0,,,
MEM-418-24,Congressman Rob Menendez,118,ST-08,,,Legislative,Intern,Personal,,0,,,
MEM-417-24,Rep. Troy Nehls (TX-22),118,ST-22,0.611,0.478,Legislative,Legislative and Press Interns,Personal,,0,,,
MEM-416-24,Congresswoman Summer Lee,118,ST-12,-0.414,0.867,Legislative,Internship,Personal,"Oversight and Accountability Committee, Space, Science, and Technology Committee",0,,,
MEM-414-24,Congresswoman Sydney Kamlager-Dove (CA-37),118,ST-37,-0.548,0.434,Legislative,,Personal,,0,,,
MEM-413-24,Congresswoman,118,ST-24,,,Communications,Communications Interns,Personal,,0,,,
MEM-412-24,Congresswoman,118,ST-24,,,Legislative,Legislative Interns,Personal,,0,,,
