Post_ID,Posting_Author,Congress_Number,State_District,State,District,1 if Democrat,DW-NOMINATE,LES,Job_Function,Title_Parsed,Office_Type,Committee_Affiliation,Spanish_Language,Salary_Min,Salary_Max,Years_Experience,Posting_Text,Year
MEM-103-14,Committee on House Administration,118,ST-00,,0.0,0,,,Legislative,Intern,Personal,House of Representatives Committee on House Administration,0,,,,mem10314 republican office committee house administration seeks energetic selfmotivated undergraduate graduate level students well recent graduates interest government public policy apply spring 2014 internships working closely committee staff interns opportunity gain firsthand knowledge innerworkings congressional committee learn daytoday administrative operations house representatives interns responsible assisting committee staff official proceedings hearingsmarkups oversight research projects well providing general front office support unlike house internships paid internship apply please send cover letter resume charepinternmailhousegov please limit resume one page,2023
MEM-108-14,Committee on Ethics,118,ST-00,,0.0,0,,,Legislative,Staff Assistant,Personal,,0,,,,mem10814 job summary requirements committee ethics opening staff assistant duties include answering telephones assisting committee investigations production process assisting tracking processing committee correspondence providing administrative support setting committee meetings entering data navigating databases accuracy applicants must excellent organizational skills professional telephone manner good computer skills proficiency microsoft word excel ability work cooperatively courteously others ability use good judgment responding inquiries requests flexibility assisting daily tasks projects applicant instructions please email cover letter resume staff assistant subject line ethicsjobsmailhousegov phone calls please 4,2023
MEM-107-14,House Committee Democrats,118,ST-00,,0.0,0,,,Legislative,Labor Policy Counsel (Pensions),Personal,House Committee Democrats,0,,,3,mem10714 labor policy counsel pensions house committee democrats jurisdiction private sector employment issues seek highly motivated counsel advisor handle pension retirement policy matters including legislative oversight work related defined benefit pension plans 401ks erisa pension benefit guaranty corporation pbgc employee benefits security administration ebsa core work focused retirement issues position may cover additional areas within labor policy determined candidates must familiarity erisa employment labor law generally least three years experience working areas candidates must excellent research writing skills candidates must thrive fastmoving environment teamoriented creative strategic positive cando attitude experience working capitol hill plus position provides opportunity work highly engaged energetic members congress policy staff strong commitment strengthening workers rights working families retirement security equal opportunity employer salary commensurate experience send cover letter resume edlaborpressmailhousegov,2024
MEM-116-14,Committee on House Administration,118,ST-00,,0.0,1,,,Legislative,Internship,Personal,CHA Dem,0,,,,mem11614 democratic office committee house administration seeks energetic selfmotivated undergraduate graduate level students well recent 3 graduates interest government public policy apply spring 2014 internship working closely committee staff interns opportunity gain firsthand knowledge innerworkings congressional committee learn daytoday administrative operations house representatives interns responsible assisting committee staff official proceedings hearingsmarkups elections oversight member services projects well providing general front office support please note paid internship interested applicants send cover letter resume available hours aislansimsmailhousegov subject headline cha dem internship,2023
MEM-103-14,Committee on House Administration,118,ST-00,,0.0,0,,,Legislative,Intern,Personal,House of Representatives Committee on House Administration,0,,,,mem10314 republican office committee house administration seeks energetic selfmotivated undergraduate graduate level students well recent graduates interest government public policy apply spring 2014 internships working closely committee staff interns opportunity gain firsthand knowledge innerworkings congressional committee learn daytoday administrative operations house representatives interns responsible assisting committee staff official proceedings hearingsmarkups oversight research projects well providing general front office support unlike house internships paid internship apply please send cover letter resume charepinternmailhousegov please limit resume one page,2023
MEM-108-14,Committee on Ethics,118,ST-00,,0.0,0,,,Legislative,Staff Assistant,Personal,,0,,,,mem10814 job summary requirements committee ethics opening staff assistant duties include answering telephones assisting committee investigations production process assisting tracking processing committee correspondence providing administrative support setting committee meetings entering data navigating databases accuracy applicants must excellent organizational skills professional telephone manner good computer skills proficiency microsoft word excel ability work cooperatively courteously others ability use good judgment responding inquiries requests flexibility assisting daily tasks projects applicant instructions please email cover letter resume staff assistant subject line ethicsjobsmailhousegov phone calls please 4,2024
MEM-107-14,House Committee Democrats,118,ST-00,,0.0,0,,,Legislative,Labor Policy Counsel (Pensions),Personal,House Committee Democrats,0,,,3,mem10714 labor policy counsel pensions house committee democrats jurisdiction private sector employment issues seek highly motivated counsel advisor handle pension retirement policy matters including legislative oversight work related defined benefit pension plans 401ks erisa pension benefit guaranty corporation pbgc employee benefits security administration ebsa core work focused retirement issues position may cover additional areas within labor policy determined candidates must familiarity erisa employment labor law generally least three years experience working areas candidates must excellent research writing skills candidates must thrive fastmoving environment teamoriented creative strategic positive cando attitude experience working capitol hill plus position provides opportunity work highly engaged energetic members congress policy staff strong commitment strengthening workers rights working families retirement security equal opportunity employer salary commensurate experience send cover letter resume edlaborpressmailhousegov,2023
MEM-342-13,"Republican Office of the Committee on Science, Space, and Technology",118,ST-00,,0.0,0,,,Legislative,Intern,Committee,"Committee on Science, Space, and Technology",0,,,,mem34213 republican office committee science space technology seeks energetic selfmotivated undergraduate graduate level students well recent graduates interest government public policy spring 2014 internship working closely committee staff interns opportunity gain firsthand knowledge innerworkings congressional committee learn daytoday administrative operations house representatives interns responsible assisting committee staff official proceedings hearingsmarkups oversight research assisting phone inquiries providing support committee staff science backgrounds plus apply please send resume cover letter gopscienceinterngmailcom,2023
MEM-346-13,Democratic Congressional committee,118,ST-00,,0.0,1,,,Legislative,Analyst,Committee,,1,,,,mem34613 democratic congressional committee seeks experienced analyst advise tax policy economic issues brief members write committee materials implications federal economic changes tax policies work congressional outside experts revenue options requires strong analytical quantitative skills strong written oral communication skills attention detail ability work effectively tight deadlines graduate degree related field hill experience preferred email resume two brief writing samples cover letter subject line revenue analyst revenueanalystmailhousegov phone calls walkins,2023
MEM-346-13,Democratic Congressional committee,118,ST-00,,0.0,1,,,Legislative,Analyst,Committee,,1,,,,mem34613 democratic congressional committee seeks experienced analyst advise tax policy economic issues brief members write committee materials implications federal economic changes tax policies work congressional outside experts revenue options requires strong analytical quantitative skills strong written oral communication skills attention detail ability work effectively tight deadlines graduate degree related field hill experience preferred email resume two brief writing samples cover letter subject line revenue analyst revenueanalystmailhousegov phone calls walkins,2024
MEM-377-13,"The Committee on Education and the Workforce, Democratic Staff",118,ST-00,,0.0,1,,,Communications,Press Intern,Personal,Democratic Staff,0,,,,mem37713 committee education workforce democratic staff currently seeking undergraduate graduate press intern spring 2014 intern perform variety tasks support staffs media work may include helping draft materials manage committee press list organize staff committee press conferences provide communications support committee hearings markups assisting production daily news clips relating committee issues intern also perform administrative duties answering phones sorting distributing mail applicants able start january commit aprilmay interested applicants email cover letter resume two short relevant writing samples jobs_ewdemsmailhousegov please visit website httpdemocratsedworkforcehousegovaboutinternships information,2024
MEM-110-25,House Committee on Oversight and Government Reform Democrats,118,ST-00,,0.0,0,,,Communications,Digital Media and Traditional Press Intern,Committee,House Committee on Oversight and Government Reform,0,,,,mem11025 house committee oversight government reform democrats seek two motivated reliable students fill two fulltime digital media traditional press intern positions summer intern responsibilities include limited written content creation graphic design video editing performing press administrative tasks necessary successful candidates possess familiarity programs adobe premiere pro adobe photoshop adobe indesign canva well compiling interpreting social media analytics ability work fastpaced rapid response environment willingness learn must position integral part communications team reports communications director candidates diverse backgrounds experiences strongly encouraged apply apply please send resume cover letter portfolio oversightpressmailhousegov,2023
MEM-109-25,House Natural Resources Committee Democrats,118,ST-00,,0.0,1,,,Legislative,Summer Intern House Committee on Natural Resources,Personal,House Natural Resources Committee,0,,3200.0,,mem10925 summer intern house committee natural resources democratic staff house natural resources committee democrats seek fulltime interns summer 2025 june 2 august 1 applicants must organized detail oriented dependable seek candidates passionate issues within natural resources committees jurisdiction demonstrate exceptional interpersonal skills eager learn committee process interns conduct legislative research prepare hearings assist administrative duties perform outreach aid communications primary responsibilities include assist administrative duties assist legislative policy projects research legislation regulations public law assist communications outreach respond requests information attend briefings meetings hearings behalf staff preferred qualifications demonstrates awareness sensitivity needs concerns individuals diverse cultures backgrounds orientations understands hnrc issues intersect racism economic social inequality us passion working dismantle systems position based washington dc interns expected work inoffice congress session needed position comes monthly stipend 3200 plus transit benefits office equal opportunity employer discriminate basis race color religion sex gender identity expression national origin age disability military status parental status marital status sexual orientation factor basis prohibited applicable federal law applicants disabilities require reasonable accommodation participate application hiring process encouraged request accommodation time processes application deadline close business april 14 interested candidates apply visiting house natural resources committee democrats website httpsdemocratsnaturalresourceshousegovinternships,2024
MEM-435-24,Democratic StaK of the House Energy and Commerce Committee,118,ST-00,,0.0,1,,,Legislative,Legislative Interns,Personal,House Energy and Commerce Committee,0,,,,mem43524 democratic stak house energy commerce committee seeks qualiﬁed undergrad students recent graduates legislative interns spring 2025 session internship energy commerce democrats designed give students thorough understanding congressional committees role legislative process throughout course program interns assist sta administrative tasks answering phones conducting legislative research preparing materials sta member brieﬁngs addition interns opportunity shadow sta hearings markups well attend brieﬁngs subjects within committees broad jurisdiction ideal candidates organized committed students eager join fastpaced environment build upon knowledge congress worksin particular role congressional committees play federal legislative process superior writing communication skills attention detail sense humor required fulltime availability preferred parttime candidates eligible well applicants considered without regard race color national origin religion sex including marital parental status sexual orientation gender identity disability age women minority veteran candidates highly encouraged apply interns receive stipend applicants may request committees assistance receive credit educational institution interested applicants submit resume cover letter one writing sample two pages max internshipresumeecmailhousegov cover letter please indicate preferred startend dates scheduling purposes whether available work fulltime parttime please put spring 2025 legislative intern application subject line deadline applications november 15 2024 please phone calls dropins,2024
MEM-429-24,House Committee on Oversight and Accountability Democratic,118,ST-00,,0.0,1,,,Communications,Digital Media and Traditional Press Intern,Committee,House Committee on Oversight and Accountability,0,,,,mem42924 house committee oversight accountability democratic sta seeks motivated reliable undergraduate graduate student ﬁll fulltime digital media traditional press intern position spring intern responsibilities include limited written content creation graphic design video editing performing press administrative tasks necessary successful candidates possess familiarity programs adobe premiere pro adobe photoshop adobe indesign canva well compiling interpreting social media analytics ability work fastpaced rapid response environment willingness learn must position reports communications director candidates diverse backgrounds experiences strongly encouraged apply apply please send resume portfolio oversightpressmailhousegov,2023
MEM-421-24,Democratic Sta& of the Committee on Rules,118,MA-00,MA,0.0,1,,,Legislative,Intern,Personal,Committee on Rules,0,,,,mem42124 democratic sta committee rules seeking full parttime energetic interns spring january may interns work closely committee sta prepare materials committee meetings conduct research projects learn rules house various procedures legislation reach house floor complete variety administrative tasks ideal candidates strong writing skills good work ethic interest learning house ﬂoor procedures detailoriented interns gain experience legislative analysis political communications institutional processes stipend available qualiﬁed candidates calls dropins please massachusetts ties plus oers conditional completion federal criminal background check oice equal opportunity employer strongly encourages candidates diverse backgrounds untraditional experience apply interested applicants email cover letter resume subject line legislative intern spring 2025 last name first name explaining want join democratic sta house rules committee rulesinterndemapplicationmailhousegov please apply november 8 2024 note students quarter systems unusual schedules still encouraged applyplease detail particular situation cover letter,2024
MEM-435-24,Democratic StaL of the House Energy and Commerce Committee,118,ST-00,,0.0,1,,,Legislative,Legislative Interns,Personal,House Energy and Commerce Committee,0,,,,mem43524 democratic stal house energy commerce committee seeks qualiﬁed undergrad students recent graduates legislative interns spring 2025 session internship energy commerce democrats designed give students thorough understanding congressional committees role legislative process throughout course program interns assist sta administrative tasks answering phones conducting legislative research preparing materials sta member brieﬁngs addition interns opportunity shadow sta hearings markups well attend brieﬁngs subjects within committees broad jurisdiction ideal candidates organized committed students eager join fastpaced environment build upon knowledge congress worksin particular role congressional committees play federal legislative process superior writing communication skills attention detail sense humor required fulltime availability preferred parttime candidates eligible well applicants considered without regard race color national origin religion sex including marital parental status sexual orientation gender identity disability age women minority veteran candidates highly encouraged apply interns receive stipend applicants may request committees assistance receive credit educational institution interested applicants submit resume cover letter one writing sample two pages max internshipresumeecmailhousegov cover letter please indicate preferred startend dates scheduling purposes whether available work fulltime parttime please put spring 2025 legislative intern application subject line deadline applications november 15 2024 please phone calls dropins,2023
MEM-429-24,House Committee on Oversight and Accountability Democratic,118,ST-00,,0.0,1,,,Communications,Digital Media and Traditional Press Intern,Committee,House Committee on Oversight and Accountability,0,,,,mem42924 house committee oversight accountability democratic sta seeks motivated reliable undergraduate graduate student ﬁll fulltime digital media traditional press intern position spring intern responsibilities include limited written content creation graphic design video editing performing press administrative tasks necessary successful candidates possess familiarity programs adobe premiere pro adobe photoshop adobe indesign canva well compiling interpreting social media analytics ability work fastpaced rapid response environment willingness learn must position reports communications director candidates diverse backgrounds experiences strongly encouraged apply apply please send resume portfolio oversightpressmailhousegov,2023
MEM-421-24,Democratic Sta& of the Committee on Rules,118,MA-00,MA,0.0,1,,,Legislative,Intern,Personal,Committee on Rules,0,,,,mem42124 democratic sta committee rules seeking full parttime energetic interns spring january may interns work closely committee sta prepare materials committee meetings conduct research projects learn rules house various procedures legislation reach house floor complete variety administrative tasks ideal candidates strong writing skills good work ethic interest learning house ﬂoor procedures detailoriented interns gain experience legislative analysis political communications institutional processes stipend available qualiﬁed candidates calls dropins please massachusetts ties plus oers conditional completion federal criminal background check oice equal opportunity employer strongly encourages candidates diverse backgrounds untraditional experience apply interested applicants email cover letter resume subject line legislative intern spring 2025 last name first name explaining want join democratic sta house rules committee rulesinterndemapplicationmailhousegov please apply november 8 2024 note students quarter systems unusual schedules still encouraged applyplease detail particular situation cover letter,2024
MEM-435-24,Democratic StaG of the House Energy and Commerce Committee,118,ST-00,,0.0,1,,,Legislative,Legislative Interns,Personal,House Energy and Commerce Committee,0,,,,mem43524 democratic stag house energy commerce committee seeks qualiﬁed undergrad students recent graduates legislative interns spring 2025 session internship energy commerce democrats designed give students thorough understanding congressional committees role legislative process throughout course program interns assist sta administrative tasks answering phones conducting legislative research preparing materials sta member brieﬁngs addition interns opportunity shadow sta hearings markups well attend brieﬁngs subjects within committees broad jurisdiction ideal candidates organized committed students eager join fastpaced environment build upon knowledge congress worksin particular role congressional committees play federal legislative process superior writing communication skills attention detail sense humor required fulltime availability preferred parttime candidates eligible well applicants considered without regard race color national origin religion sex including marital parental status sexual orientation gender identity disability age women minority veteran candidates highly encouraged apply interns receive stipend applicants may request committees assistance receive credit educational institution interested applicants submit resume cover letter one writing sample two pages max internshipresumeecmailhousegov cover letter please indicate preferred startend dates scheduling purposes whether available work fulltime parttime please put spring 2025 legislative intern application subject line deadline applications november 15 2024 please phone calls dropins,2024
MEM-429-24,House Committee on Oversight and Accountability Democratic,118,ST-00,,0.0,1,,,Communications,Digital Media and Traditional Press Intern,Committee,House Committee on Oversight and Accountability,0,,,,mem42924 house committee oversight accountability democratic sta seeks motivated reliable undergraduate graduate student ﬁll fulltime digital media traditional press intern position spring intern responsibilities include limited written content creation graphic design video editing performing press administrative tasks necessary successful candidates possess familiarity programs adobe premiere pro adobe photoshop adobe indesign canva well compiling interpreting social media analytics ability work fastpaced rapid response environment willingness learn must position reports communications director candidates diverse backgrounds experiences strongly encouraged apply apply please send resume portfolio oversightpressmailhousegov,2024
MEM-491-24,Committee on House Administration Republican O&ice,118,ST-00,,0.0,0,,,Legislative,Intern,Personal,Republican,1,,,,mem49124 committee house administration republican oice seeks energetic selfmotivated individuals interest government public policy apply paid fulltime internship program committee house administration maintains jurisdiction federal election policy manages daytoday operations house representatives oversight several oices within capitol complex including chief administrative oicer architect capitol clerk house house inspector general sergeant arms us capitol police legislative branch entities like library congress government publishing oice smithsonian institution working closely committee sta interns opportunity gain ﬁrsthand knowledge innerworkings congressional committee learn daytoday administrative operations house representatives interns responsible assisting committee sta oicial proceedings hearingsmarkups oversight research assisting phones providing support committee sta responsibilities interns responsible administrative legislative duties administrative tasks include answering phones greeting visitors sorting mail entering data drafting correspondence legislative support includes performing research drafting public statements prepping materials hearings attending hearings brieﬁngs reaching agencies congressional oices host various special projects please send resume cover letter availability chainterngopmailhousegov,2023
MEM-489-24,Democratic Sta& of the House Energy and Commerce Committee,118,ST-00,,0.0,1,,,Communications,Press Intern,Committee,House Energy and Commerce Committee,0,,,,mem48924 democratic sta house energy commerce committee seeks motivated creative parttime fulltime press intern spring 2025 press intern work closely collaboratively fastpaced communications team qualiﬁed candidates strong writing social media skills graphic design experience desire create engaging communications content knowledge video editing software plus responsibilities may include compiling daily press clips designing graphics editing captioning videos drafting news releases social media enewsletter content updating website compiling weekly reports press social media results taking photos hearings events intern receive stipend internship ideally run january april 2025 interested applicants submit resume cover letter one writing sample longer two pages internshipresumeecmailhousegov cover letter please indicate preferred startend dates scheduling purposes whether available work fulltime parttime please put spring 2025 press intern first name last name subject line deadline apply december 10 2024 please phone calls dropins applicants considered without regard race color national origin religion sex including marital parental status sexual orientation gender identity disability age women minority veteran candidates highly encouraged apply,2024
MEM-491-24,Committee on House Administration Republican O&ice,118,ST-00,,0.0,0,,,Legislative,Intern,Personal,Republican,1,,,,mem49124 committee house administration republican oice seeks energetic selfmotivated individuals interest government public policy apply paid fulltime internship program committee house administration maintains jurisdiction federal election policy manages daytoday operations house representatives oversight several oices within capitol complex including chief administrative oicer architect capitol clerk house house inspector general sergeant arms us capitol police legislative branch entities like library congress government publishing oice smithsonian institution working closely committee sta interns opportunity gain ﬁrsthand knowledge innerworkings congressional committee learn daytoday administrative operations house representatives interns responsible assisting committee sta oicial proceedings hearingsmarkups oversight research assisting phones providing support committee sta responsibilities interns responsible administrative legislative duties administrative tasks include answering phones greeting visitors sorting mail entering data drafting correspondence legislative support includes performing research drafting public statements prepping materials hearings attending hearings brieﬁngs reaching agencies congressional oices host various special projects please send resume cover letter availability chainterngopmailhousegov,2023
MEM-489-24,Democratic Sta& of the House Energy and Commerce Committee,118,ST-00,,0.0,1,,,Communications,Press Intern,Committee,House Energy and Commerce Committee,0,,,,mem48924 democratic sta house energy commerce committee seeks motivated creative parttime fulltime press intern spring 2025 press intern work closely collaboratively fastpaced communications team qualiﬁed candidates strong writing social media skills graphic design experience desire create engaging communications content knowledge video editing software plus responsibilities may include compiling daily press clips designing graphics editing captioning videos drafting news releases social media enewsletter content updating website compiling weekly reports press social media results taking photos hearings events intern receive stipend internship ideally run january april 2025 interested applicants submit resume cover letter one writing sample longer two pages internshipresumeecmailhousegov cover letter please indicate preferred startend dates scheduling purposes whether available work fulltime parttime please put spring 2025 press intern first name last name subject line deadline apply december 10 2024 please phone calls dropins applicants considered without regard race color national origin religion sex including marital parental status sexual orientation gender identity disability age women minority veteran candidates highly encouraged apply,2024
MEM-491-24,Committee on House Administration Republican O&ice,118,ST-00,,0.0,0,,,Legislative,Intern,Personal,Republican,1,,,,mem49124 committee house administration republican oice seeks energetic selfmotivated individuals interest government public policy apply paid fulltime internship program committee house administration maintains jurisdiction federal election policy manages daytoday operations house representatives oversight several oices within capitol complex including chief administrative oicer architect capitol clerk house house inspector general sergeant arms us capitol police legislative branch entities like library congress government publishing oice smithsonian institution working closely committee sta interns opportunity gain ﬁrsthand knowledge innerworkings congressional committee learn daytoday administrative operations house representatives interns responsible assisting committee sta oicial proceedings hearingsmarkups oversight research assisting phones providing support committee sta responsibilities interns responsible administrative legislative duties administrative tasks include answering phones greeting visitors sorting mail entering data drafting correspondence legislative support includes performing research drafting public statements prepping materials hearings attending hearings brieﬁngs reaching agencies congressional oices host various special projects please send resume cover letter availability chainterngopmailhousegov,2024
MEM-058-25,Democratic Sta$ of the House Energy and Commerce Committee,118,ST-00,,0.0,1,,,Legislative,Legislative Intern,Personal,Energy and Commerce Democrats,0,,,,mem05825 legislative intern democratic sta house energy commerce committee seeks qualiﬁed undergrad students recent graduates legislative interns summer 2025 session internship energy commerce democrats designed give students thorough understanding congressional committees role legislative process throughout course program interns assist sta administrative tasks answering phones conducting legislative research preparing materials sta member brieﬁngs addition interns opportunity shadow sta hearings markups well attend brieﬁngs subjects within committees broad jurisdiction ideal candidates organized committed students eager join fastpaced environment build upon knowledge congress worksin particular role congressional committees play federal legislative process superior writing communication skills attention detail sense humor required fulltime availability preferred parttime candidates eligible well applicants considered without regard race color national origin religion sex including marital parental status sexual orientation gender identity disability age women minority veteran candidates highly encouraged apply interns receive stipend applicants may request committees assistance receive credit educational institution interested applicants submit resume cover letter one writing sample two pages max internshipresumeecmailhousegov cover letter please indicate preferred startend dates scheduling purposes whether available work fulltime parttime please put summer 2025 legislative intern application subject line deadline applications march 21 2025 please phone calls dropins,2023
MEM-057-25,House Committee on Ways and Means,118,ST-00,,0.0,1,,,Legislative,Digital Fellow,Personal,House Committee on Ways and Means,0,,,,mem05725 democratic sta house committee ways means seek paid digital fellow join fastpaced committed team summer 2025 digital fellow must video editing experience enjoy advancing committees priorities holding republicans accountable scheduling ﬂexible candidates academic commitments essential job functions pitch timely punchy social media content produce highquality graphics videos conjunction team assist team managing press lists website minimum qualiﬁcations prior experience digital communications including graphic design video editing ability take direction adapt quickly exceptionally qualiﬁed candidates demonstrated understanding familiarity ways means jurisdiction please send cover letter resume 23 graphic video samples dylanpeacheymailhousegov subject line digital fellow summer 2025 last name friday february 28 2025 equal opportunity employer discriminate basis race sex color age religion national origin sexual orientation gender identity disability diverse applicants encouraged apply,2023
MEM-058-25,Democratic Staff of the House Energy and Commerce Committee,118,ST-00,,0.0,1,,,Legislative,Legislative Intern,Personal,House Energy and Commerce Committee,0,,,,mem05825 legislative intern democratic staff house energy commerce committee seeks qualified undergrad students recent graduates legislative interns summer 2025 session internship energy commerce democrats designed give students thorough understanding congressional committees role legislative process throughout course program interns assist staff administrative tasks answering phones conducting legislative research preparing materials staff member briefings addition interns opportunity shadow staff hearings markups well attend briefings subjects within committees broad jurisdiction ideal candidates organized committed students eager join fastpaced environment build upon knowledge congress worksin particular role congressional committees play federal legislative process superior writing communication skills attention detail sense humor required fulltime availability preferred parttime candidates eligible well applicants considered without regard race color national origin religion sex including marital parental status sexual orientation gender identity disability age women minority veteran candidates highly encouraged apply interns receive stipend applicants may request committees assistance receive credit educational institution interested applicants submit resume cover letter one writing sample two pages max internshipresumeecmailhousegov cover letter please indicate preferred startend dates scheduling purposes whether available work fulltime parttime please put summer 2025 legislative intern application subject line deadline applications march 21 2025 please phone calls dropins,2024
